cnt,msgCnt,gpsSecond,latitude,longitude,elevation,latError,lonError,speedMS2,speedMPH,heading,fwdAccel,latAccess,vertAccel,yawRate
1372,92,16320,40.72461188,-74.53987901,48,0.05,0.05,0,15.271,354.51,0.01,1,0.34,-1.81
1373,93,16540,40.72463011,-74.53988269,48.1,0.05,0.05,0,16.874,355.47,-0.08,0.94,0.19,-1.76
1374,94,16750,40.72464937,-74.53988602,48.2,0.05,0.05,0,18.343,356.61,-0.2,1,-0.09,-1.78
1375,95,16970,40.72466761,-74.53988847,48.3,0.05,0.05,0,20.213,358.1,0.11,0.11,0.05,-1.88
1376,96,17180,40.72468771,-74.53989089,48.3,0.05,0.05,0,21.92,359.6,0.11,0.11,0.05,-1.83
1377,97,17400,40.72470801,-74.53989265,48.4,0.05,0.05,0,23.805,0.88,-0.33,0.21,-0.02,-1.75
1378,98,17620,40.72472802,-74.53989378,48.4,0.05,0.05,0,25.769,1.78,0.24,0.77,0.72,-1.73
1379,99,17830,40.72474836,-74.53989425,48.5,0.05,0.05,0,27.919,2.6,0.13,0.4,-0.9,-1.69
1380,100,18050,40.72476925,-74.53989387,48.5,0.05,0.05,0,30.152,3.76,0.06,1.23,0.26,-1.55
1381,101,18260,40.72479341,-74.53989323,48.6,0.05,0.05,0,33.053,4.63,0.04,0.86,0.11,-1.6
1382,102,18480,40.7248124,-74.53989074,49.2,0.05,0.05,0,35.835,6.22,0.29,0.95,0.34,-1.41
1383,103,18700,40.72483122,-74.53988642,48.9,0.05,0.05,0,38.317,7.89,0.2,0.7,0.25,-1.45
1384,104,18910,40.72485384,-74.53988201,48.9,0.05,0.05,0,40.109,9.69,0.21,0.76,0.19,-1.4
1385,105,19200,40.7248838,-74.53987452,48.9,0.05,0.05,0,41.145,12.39,-0.19,0.41,0.3,-1.52
1386,106,19420,40.72490651,-74.53986738,49,0.05,0.05,0,42.172,14.4,0.02,0.62,0.19,-1.43
1387,107,19630,40.724929,-74.53985932,49,0.05,0.05,0,42.514,16.56,0.35,-0.02,0.11,-1.4
1388,108,19850,40.72495237,-74.53985006,49,0.05,0.05,0,43.194,18.74,0.06,0.29,0.01,-1.39
1389,109,20060,40.72497482,-74.53983937,49.1,0.05,0.05,0,43.708,21.28,0.25,0.7,0.05,-1.42
1390,110,20350,40.72500427,-74.53982295,49.2,0.05,0.05,0,44.061,24.58,-0.02,0.06,0.05,-1.37
1391,111,20570,40.72502605,-74.53980917,49.2,0.05,0.05,0,44.515,27,-0.18,0.09,0.08,-1.27
1392,112,20780,40.72504757,-74.53979418,49.3,0.05,0.05,0,44.898,29.38,0.23,0.46,0.46,-1.43
1393,113,21000,40.72506919,-74.539778,49.3,0.05,0.05,0,45.149,31.95,-0.03,0.74,-0.38,-1.33
1394,114,21290,40.72509649,-74.53975394,49.4,0.05,0.05,0,45.541,35.44,0.1,0.31,0.57,-1.29
1395,115,21500,40.72511629,-74.53973448,49.4,0.05,0.05,0,45.798,37.95,0.43,0.16,0.58,-1.19
1396,116,21720,40.7251355,-74.53971378,49.5,0.05,0.05,0,46.05,40.44,0.01,0.38,1.18,-1.07
1397,117,21940,40.72515382,-74.53969219,49.6,0.05,0.05,0,45.626,42.86,0.12,0.17,0.73,-1.12
1398,118,22150,40.72517204,-74.53966991,49.6,0.05,0.05,0,45.144,45.19,-0.02,0.26,0.42,-1.13
1399,119,22370,40.72518891,-74.53964656,49.7,0.05,0.05,0,45.256,47.53,-0.24,0.86,0.65,-1.24
1400,120,22580,40.72520482,-74.53962237,49.8,0.05,0.05,0,45.033,50,0.38,-0.48,0.36,-1.24
1401,121,22800,40.72522009,-74.53959736,49.8,0.05,0.05,0,45.308,52.17,0.33,-0.23,0.47,-1.18
1402,122,23020,40.72523467,-74.53957157,49.9,0.05,0.05,0,45.362,54.15,0.03,-0.06,1.05,-1.37
1403,123,23300,40.72525754,-74.53953687,49.6,0.05,0.05,0,45.304,56.7,-0.04,-0.38,0.44,-1.42
1404,124,23520,40.72527053,-74.53950978,49.7,0.05,0.05,0,45.292,58.16,-0.08,-0.9,0.51,-1.62
1405,125,23740,40.72528324,-74.53948237,49.7,0.05,0.05,0,45.314,59.27,-0.13,-0.74,0.5,-1.57
1406,126,23950,40.72529554,-74.53945455,49.8,0.05,0.05,0,45.501,60.37,-0.03,-0.29,0.19,-1.39
1407,127,24240,40.72531123,-74.53941677,49.9,0.05,0.05,0,45.768,61.89,0.18,-0.16,0.09,-1.47
1408,0,24460,40.72532258,-74.53938797,50,0.05,0.05,0,45.833,62.99,0.07,-0.4,0.36,-1.57
1409,1,24670,40.72533354,-74.53935889,50.1,0.05,0.05,0,45.97,64.15,-0.18,-0.1,0.21,-1.48
